AR,Augmented Reality,エーアール,拡張現実感,
ARP,Address Resolution Protocol,アープ,アドレス解決プロトコル,
ASP,Application Service Provider,エーエスピー,アプリケーションサービスプロバイダ,
BCP,Business Continuity Plan,ビーシーピー,事業継続計画 / 業務継続計画,
BI,Business Intelligence,ビーアイ,企業の情報システムなどで蓄積される膨大な業務データを、利用者が自らの必要に応じて分析・加工し、業務や経営の意思決定に活用する手法,
BPO,Business Process Outsourcing,ビーピーオー,自社の業務プロセスをまとまった単位で継続的に外部の専門的な企業に委託すること,
BPR,Business Process Reengineering,ビーピーアール,企業などで既存の業務の構造を抜本的に見直し、業務の流れを最適化する観点から再構築すること,
bps,bit per second,ビーピーエス,ビット毎秒,
BSC,Balanced ScoreCard,ビーエスシー,企業や事業、プロジェクトなどの業績を4つの視点から総合的に評価する手法,
BYOD,Bring Your Own Device,ビーワイオーディー,私物の情報端末などを持ち込んで業務で利用すること,
CAD,Computer Aided Design,キャド,工業製品や建築物などの設計や製図をコンピュータを用いて行うこと,
CAM,Computer Aided Manufacturing,キャム,工業製品などの製造現場で利用される情報システムおよびソフトウェアの一つ,
CIO,Chief Information Officer,シーアイオー,最高情報責任者 / 情報統括役員,
CMMI,Capability Maturity Model Integration,シーエムエムアイ,組織がプロセス改善を行う能力を評価する手法および指標,
CPU,Central Processing Unit,シーピーユー,中央処理装置,
CRM,Customer Relationship Management,シーアールエム,顧客管理システム,
CSF,Critical Success Factors,シーエスエフ,主要成功要因。Key Success Factor（KSF）,
CSR,Corporate Social Responsibility,シーエスアール,企業が社会に与える影響について責任を持ち、社会の持続的発展のために貢献すべきとする考え方,
CSS,Cascading Style Sheets,シーエスエス,Webページの要素の配置や見栄えなどを記述するための言語,
DDoS攻撃,Distributed Denial Of Service,ディーディーオーエスこうげき / ディードスこうげき,インターネット上の多数の機器から特定のネットワークやコンピュータに一斉に接続要求を送信し、過剰な負荷をかけて機能不全に追い込む攻撃手法,
DFD,Data Flow Diagram,ディーエフディー,要素間のデータの流れを表した図,
DHCP,Dynamic Host Configuration Protocol,ディーエイチシーピー,IPアドレスなど必要な情報を自動的に割り当てるプロトコル,
DMZ,DeMilitarized Zone,ディーエムゼット,外部と内部の両ネットワークの中間に設けられたネットワーク領域。非武装地帯,
DNS,Domain Name System,ディーエヌエス,IPネットワーク上でドメイン名（ホスト名）とIPアドレスの対応関係を管理するシステム,
DOA,Data Oriented Approach,ディーオーエー,データ中心アプローチ,
dpi,dots per inch,ディーピーアイ,プリンタやイメージスキャナなどで使われる解像度の単位,
DRAM,Dynamic Random Access Memory,ディーラム,通電をやめると記憶が失われる揮発性の半導体メモリ。コンピュータの主記憶装置,
DRM,Digital Rights Management,ディーアールエム,デジタル著作権管理,
EA,Enterprise Architecture,エンタープライズアーキテクチャ,組織運営の基本理念,
EC,Electronic Commerce,イーシー,電子商取引,
ECC,Error Check and Correct,イーシーシー,誤り訂正符号,
E-R図,Entity Relationship Diagram,イーアールず,実体関連図。実体（entity）、関連（relationship）、属性（attribute）の三要素で構成された図,
ERP,Enterprise Resource Planning,イーアールピー,企業の持つ資金や人材、設備、資材、情報など様々な資源を統合的に管理・配分し、業務の効率化や経営の全体最適を目指す手法,
EVM,Earned Value Management,イーブイエム,アーンドバリュー分析。進捗状況の把握・管理をEV（Earned Value：アーンドバリュー、出来高）という概念で把握する,
FIFO,First In First Out,ファイフォ,先入先出,
FTP,File Transfer Protocol,エフティーピー,TCP/IPネットワークでファイル転送を行うことができるプロトコル,
FTTH,Fiber To The Home,エフティーティーエイチ,光ファイバーによる家庭向けのデータ通信サービス,
GPS,Global Positioning System,ジーピーエス,人工衛星を利用して自分が地球上のどこにいるのかを正確に割り出すシステム,
HaaS,Hardware as a Service,ハース,ハードウエア利用提供サービス,
HDMI,High-Definition Multimedia Interface,エイチディーエムアイ,映像や音声をデジタル信号として伝送するインターフェース規格の一つ。直接デジタルデータとして伝送するため、伝送途上で品質が劣化することがない,
HRM,Human Resource Management,エイチアールエム,人的資源管理,
HTML,HyperText Markup Language,エイチティーエムエル,Webページを記述するためのマークアップ言語,
HTTP,Hyper Text Transfer Protocol,エイチティーティーピー,WebサーバとWebクライアントの間でデータの送受信を行うために用いられるプロトコル,
IDS,Intrusion Detection System,アイディーエス,侵入検知システム。不正なアクセスを検知して管理者にメールなどで通報するシステム,
IEEE,Institute of Electrical and Electronic Engineers,アイトリプルイー,工業技術の標準化団体,
IMAP,Internet Message Access Protocol,アイマップ,電子メールを受信するためのプロトコル,
IoT,Internet of Things,アイオーティー,様々な物体に通信機能を持たせ、インターネットに接続したり自動認識や自動制御、遠隔計測などを行うこと,
IPO,Initial Public Offering,アイピーオー,未上場企業が新規に株式を証券取引所に上場し、投資家に株式を取得させること,
IPS,Intrusion Prevention System,アイピーエス,侵入防止システム。サーバやネットワークの外部との通信を監視し、侵入の試みなど不正なアクセスを検知して攻撃を未然に防ぐシステム,
IPv6,Internet Protocol version6,アイピーブイロク / アイピーブイシックス,インターネットの基礎となる通信規約プロトコル。枯渇が近いIPv4と比べて利用できるアドレス総数が多く事実上無限にあり、セキュリティ機能の強化や転送効率の向上などがなされている,
IrDA,Infrared Data Association,アイアールディーエー,赤外線通信規格,
ISMS,Information Security Management System,アイエスエムエス,組織内での情報の取り扱いについて、機密性、完全性、可用性を一定の水準で確保するための仕組み,
ISO,International Organization for Standardization,アイエスオー,国際標準化機構,
ISP,Internet Service Provider,アイエスピー,インターネットサービスプロバイダ,
ITIL,Information Technology Infrastructure Library,アイティル,情報システムの運用・管理業務についての体系的なガイドラインの一つ,
ITS,Intelligent Transport Systems,アイティーエス,高度道路交通システム,
JANコード,Japanese Article Number,ジャンコード,日本工業規格（JIS）に定められている、商品識別番号とバーコードの規格,
JIS,Japanese Industrial Standards,ジス,日本工業規格,
KPI,Key Performance Indicators,ケーピーアイ,重要業績評価指標,
LRU,Least Recently Used,エルアールユー,最も過去に使用されたものから順に破棄する方式,
LTE,Long Term Evolution,エルティーイー,4G,
M＆A,Merger ＆ Acquisition,エムアンドエー,企業の合併買収のこと。Mergers（合併）and Acquisitions（買収）,
MBO,Management BuyOut,エムビーオー,企業買収の類型の一つで、その企業の経営陣が株式の過半を取得して買収すること。また、子会社や事業部門の幹部が本社からその事業を買い取って独立すること,
MDM,Mobile Device Management,エムディーエム,携帯情報端末のシステム設定などを統合的・効率的に管理する手法,
MIDI,Musical Instrument Digital Interface,ミディ,楽曲データの記述、保存、伝送などの方式を定めた標準規格の一つ,
MIME,Multipurpose Internet Mail Extension,マイム,Webサーバとブラウザの間でやり取りされるデータのファイル形式。主に電子メールで使われる。,
MOT,Management Of Technology,エムオーティー,技術の研究・開発や継続的なイノベーションを中心とした経営管理の手法,
MP3,MPEG Audio Layer-3,エムピースリー,音声データを圧縮する方式およびファイル形式の一つ,
MRP,Material Requirements Planning,エムアールピー,生産計画に基いて部品表と在庫情報から発注すべき資材の量と時期を決定する方式,
MTBF,Mean Time Between Failures,エムティービーエフ,平均故障間隔,
MTTR,Mean Time To Repair,エムティーティーアール,平均復旧時間,
MVNO,Mobile Virtual Network Operator,エムブイエヌオー,仮想移動体通信事業者,
NAS,Network Attached Storage,ナス,ネットワークに直接接続し、コンピュータなどからネットワークを通じてアクセスできる外部記憶装置,
NAT,Network Address Translation,ナット,ネットワークアドレス変換,
NDA,Non Disclosure Agreement,エヌディーエー,秘密保持契約,
NFC,Near Field Communication,エヌエフシー,至近距離で無線通信を行う技術,
OJT,On the Job Training,オージェーティー,実際の業務を行なう中で必要な知識や技能を身につけさせていく方式,
OS,Operating System,オーエス,システム全体を管理する基本的なソフトウェア,
OSS,Open Source Software,オーエスエス,誰でも無償で自由に使用、複製、改変、再配布できるように公開されたソフトウェア,
PCM,Pulse Code Modulation,ピーシーエム,音声などのアナログ信号をデジタルデータに変換する方式の一つ,
PDCA,Plan、Do、Check、Act,ピーディーシーエー,計画（Plan）→実行（Do）→評価（Check）→改善（Act）という4段階の活動を繰り返し行なうことで、継続的にプロセスを改善・最適化していく手法,
PDM,Product Data Management,ピーディーエム,設計や構成に関する情報を一元管理してコスト削減や工期の短縮を図る手法,
PER,Price Earnings Ratio,ピーイーアール,株価収益率,
PERT,Program Evaluation and Review Technique,パート,各工程の依存関係を図示して所要期間を見積もったり、重要な工程を見極めたりする手法,
PKI,Public Key Infrastructure,ピーケーアイ,公開鍵基盤,
PL法,Product Liability,ピーエルほう,製造物責任法,
PMBOK,Project Management Body Of Knowledge,ピンボック,プロジェクトマネジメント知識体系,
PoE,Power over Ethernet,ピーオーイー,LANケーブル等で電力を供給する仕様,
POP,Post Office Protocol,ポップ,電子メールを受信するための通信規約プロトコル,
POS,Point Of Sale,ポス,販売時点情報管理,
PPM,Products Portfolio Management,ピーピーエム,製品ポートフォリオ管理,
QRコード,Quick Response code,キューアールコード,データを図形パターンで表すことができる2次元コードの方式,
RAID,Redundant Arrays of Inexpensive Disks,レイド,外部記憶装置を複数台まとめて一台の装置として管理する技術,
RDB,Relational Database,アールディービー,関係データベース,
RFID,Radio Frequency IDentification,アールエフアイディー,ICタグと無線通信することで個体識別や所在管理、移動追跡などを行う仕組み,
RFM,Recency、Frequency、Monetary,アールエフエム,顧客の購買履歴の分析手法。最終購入日（Recency）、購入頻度（Frequency）、購入額（Monetary）,
RFP,Request For Proposal,アールエフピー,提案依頼書,
RGB,Red、Green、Blue,アールジービー,赤（Red）、緑（Green）、青（Blue）の配合比率を変化させて、すべての色を表現する方式,
ROE,Return On Equity,アールオーイー,自己資本利益率,
ROI,Return On Investment,アールオーアイ,投資対効果,
RPA,Robotic Process Automation,アールピーエー,ロボットによる業務自動化,
RSS,Really Simple Syndication,アールエスエス,Webサイトの更新情報を配布するためのデータ形式,
SaaS,Software as a Service,サース,ソフトウェアをインターネットを通じて遠隔から利用者に提供する方式,
SCM,Supply Chain Management,エスシーエム,受発注や在庫、販売、物流などの情報を共有し、流通の全体最適化を図る管理手法,
SCSI,Small Computer System Interface,スカジー,周辺機器とのパラレル接続規格,
SEO,Search Engine Optimization,エスイーオー,検索結果リストの上位に表示させるために様々な工夫を行うこと,
SFA,Sales Force Automation,エスエフエー,営業活動を支援して効率化するもの,
SIM,Subscriber Identity Module,シム,識別情報などが記録されたICカード,
SLA,Service Level Agreement,エスエルエー,サービスレベル合意書,
SLCP,Software Life Cycle Process,エスエルシーピー,ソフトウェアの構想・設計から開発、導入、運用、保守、破棄に到るまでの工程全体,
S/MIME,Secure MIME,エスマイム,電子メールの内容を暗号化したりデジタル署名を付加したりする方式,
SMTP,Simple Mail Transfer Protocol,エスエムティーピー,電子メールを伝送するための通信手順プロトコル,
SNS,Social Networking Service,エスエヌエス,ソーシャルネットワーキングサービス,
SOA,Service Oriented Architecture,エスオーエー,部品化されたサービスを結合してシステムを構築する設計手法,
SPEC,Standard Performance Evaluation Corporation,スペック,コンピュータシステムの性能測定する標準的な手法を策定し、測定結果を登録・公表する国際的な非営利団体,
SQL,Structured Query Language,シークェル / エスキューエル,リレーショナルデータベースの管理や操作を行うための問い合わせ言語,
SQuBOK,Software Quality Body Of Knowledge,スクボック,ソフトウェアに関する品質保証や品質向上に携わる技術者に求められる知識を体系的にまとめた知識体系,
SSD,Solid State Drive,エスエスディー,フラッシュメモリを用いる外部記憶装置,
SSID,Service Set Identifier,エスエスアイディー,無線LAN（Wi-Fi）におけるアクセスポイントの識別名。現在ではESSIDの意味でSSIDという語を使う場合が多い,
SSL,Secure Socket Layer,エスエスエル,IPネットワークでデータを暗号化して送受信するプロトコル,
SWOT分析,Strengths-Weaknesses-Opportunities-Threats analysis,スウォットぶんせき,強み、弱み、機会、脅威の4項目を軸に外部環境と内部環境の把握・分析すること,
TCO,Total Cost of Ownership,ティーシーオー,総所有コスト / 総保有コスト,
TCP,Transmission Control Protocol,ティーシーピー,ポート番号で上位層のアプリを判別し、通信相手の状況を確認して接続を確立する信頼性の高いコネクション型のプロトコル,
TELNET,TELetype NETwork,テルネット,TCP/IPネットワークを通じて別のコンピュータにアクセスし、遠隔操作するためのプロトコル,
TOB,TakeOver Bid,ティーオービー,上場企業の株式を、買い取り条件を公表して不特定多数の株主から株式市場外で買い付けること,
UDP,User Datagram Protocol,ユーディーピー,ポート番号で上位層のアプリを判別し、通信相手の状況を確認せずにデータを送り付ける速度を重視したコネクションレス型のプロトコル,
UML,Unified Modeling Language,ユーエムエル,統一モデリング言語,
UPS,Uninterruptible Power Supply,ユーピーエス,無停電電源装置,
URL,Uniform Resource Locator,ユーアールエル,インターネット上に存在するデータやサービスなどの情報資源の位置を記述する標準的な記法,
USB,Universal Serial Bus,ユーエスビー,コンピュータと周辺機器を繋ぐのに用いられるデータ伝送路の標準規格,
UTM,Unified Threat Management,ユーティーエム,統合脅威管理,
VICS,Vehicle Information and Communication System,ビックス,渋滞や交通規制などの道路交通情報を、FM多重放送やビーコンを使ってリアルタイムにカーナビに届けるシステム,
VoIP,Voice over Internet Protocol,ブイオーアイピー / ヴォイップ,TCP/IPネットワークを通じて音声通話を行う技術の総称,
VPN,Virtual Private Network,ブイピーエヌ,仮想プライベートネットワーク,
WAF,Web Application Firewall,ワフ,Webアプリケーションファイアーウォール,
WBS,Work Breakdown Structure,ダブリュービーエス,作業分解図,
WPA,Wi-fi Protected Access,ダブリューピーエー,無線LAN（Wi-Fi）上で通信を暗号化して保護するための技術規格,
WWW,World Wide Web,スリーダブリュー/ダブリュ・ダブリュ・ダブリュ/ワールドワイドウェブ,インターネット上で標準的に用いられている文書の公開・閲覧システム,
XML,eXtensible Markup Language,エックスエムエル,文書やデータの意味や構造を記述するためのマークアップ言語,
XSS,Cross Site Scripting,クロスサイトスクリプティング,外部から任意のコードを埋め込んで実行できるコードインジェクション攻撃,